ERR1912976.21809__1.21809	292800__A0A096B6V4__tap_3
ERR1912976.21829__1.21829	28116__F7L4X5__M089_2857
ERR1912976.21849__1.21849	329854__R5M7D4__DXD27_21610
ERR1912976.22243__1.22243	2292352__A0A374UKA6__DXC23_10805
ERR1912976.22252__1.22252	360807__A0A173WE18__prkC_2
ERR1912976.22439__1.22439	821__D4VD59__BHV80_04260
ERR1912976.22864__1.22864	33038__A0A3E4K4Y5__CDL20_06020
ERR1912976.22906__1.22906	165179__A0A3E5A554__DXB80_13805
ERR1912976.22959__1.22959	360807__C0FUN2__ERS852444_01353
ERR1912976.23128__1.23128	33039__D4M1B1__ERS852577_03971
ERR1912976.23096__1.23096	33038__F7JUE7__CDL26_12120
ERR1912976.23074__1.23074	239935__R7E524__CXT91_06180
ERR1912976.23160__1.23160	39485__C4Z5L2__ERS852490_00659
ERR1912976.23372__1.23372	329854__A0A3E4IPS4__DXD57_02175
ERR1912976.23438__1.23438	821__I9R3W6__DXC16_12455
ERR1912976.23454__1.23454	328814__GCA_004558275.1_00043
ERR1912976.23502__1.23502	29361__B6FQ81__CLONEX_02300
ERR1912976.23708__1.23708	28052__A0A174MSU9__ERS852499_02010
ERR1912976.23775__1.23775	239935__A0A139TQT9__Amuc_1197
ERR1912976.23857__1.23857	329854__A0A3E4KPG4__DXD27_21195
ERR1912976.23883__1.23883	39492__R6SPM9__pheT
ERR1912976.23945__1.23945	820__A0A374Q1D8__SAMN05444418_112114
ERR1912976.24093__1.24093	820__A0A3E4WCX3__C801_02709
ERR1912976.24151__1.24151	33038__A0A2N5NVQ3__CDL19_02550
ERR1912976.24315__1.24315	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1912976.24305__1.24305	410072__A0A173XQG6__ERS852574_01620
ERR1912976.24333__1.24333	74426__rpoC
ERR1912976.24428__1.24428	292800__A0A174W622__ADH75_01915
ERR1912976.24618__1.24618	821__E5UY21__C800_02204
ERR1912976.24757__1.24757	1262921__R5LSI3__BN473_01312
ERR1912976.24900__1.24900	853__A0A173XRA8__CGS56_09290
ERR1912976.24903__1.24903	39485__A0A174Z8V5__fliU_2
ERR1912976.24939__1.24939	357276__B6VXX7__HMPREF1063_02683
ERR1912976.24953__1.24953	360807__A0A0M6WXW8__ERS852392_01614
ERR1912976.25086__1.25086	929814__GeneID:14006943
ERR1912976.25288__1.25288	2173__A0A1D2WX19__METSMIF1_03132
ERR1912976.25557__1.25557	1262948__R7EBX1__BN671_01946
ERR1912976.25572__1.25572	28116__A0A1Y4PWN5__M088_3731
ERR1912976.25717__1.25717	1776045__A0A0U5J7K7__BN3456_00132
ERR1912976.25703__1.25703	33038__A0A396G851__tig
ERR1912976.25818__1.25818	28052__A0A174HY73__ERS852451_01605
ERR1912976.25778__1.25778	2292352__A0A374UL63__DXC23_08410
ERR1912976.25862__1.25862	821__A0A396F598__CUU_3259
ERR1912976.25956__1.25956	501571__R8W2G5__HMPREF1526_02029
ERR1912976.26080__1.26080	88431__A0A173RMM9__coaE
ERR1912976.26047__1.26047	169435__B0PDL5__B5F55_10610
ERR1912976.26202__1.26202	649756__D4MXW9__ERS852520_02286
ERR1912976.26238__1.26238	2292352__A0A374UJE7__DXC23_11305
ERR1912976.26330__1.26330	706562__GCA_900112995.1_01625
ERR1912976.26687__1.26687	487174__K0X2A4__DDY40_04095
ERR1912976.26689__1.26689	33039__D4M4W3__RTO_17030
ERR1912976.26936__1.26936	33038__A0A2N5P3M1__DXD36_15590
ERR1912976.26947__1.26947	39485__A0A1Q6PGI7__pehX_3
ERR1912976.26966__1.26966	39492__D4JX50__EUBSIR_00410
ERR1912976.27281__1.27281	39492__D4JTW7__EUBSIR_00859
ERR1912976.27371__1.27371	28117__B0MTV0__BHV66_06395
ERR1912976.27360__1.27360	33038__A0A2N5NK76__CDL22_06785
ERR1912976.27470__1.27470	292800__U2BU47__ERS852544_01880
ERR1912976.27415__1.27415	33039__A0A173VTT4__frdB_1
ERR1912976.27556__1.27556	360807__A0A173SPW8__ERS852444_01048
ERR1912976.27801__1.27801	33038__A0A396G7D8__asnB
ERR1912976.27698__1.27698	74426__sugC
ERR1912976.27868__1.27868	165179__A0A3E5A554__DXB80_13805
ERR1912976.27927__1.27927	33038__A0A3E4KA66__CDL24_01305
ERR1912976.27958__1.27958	1160721__A0A1C6CMR2__BHW50_00085
ERR1912976.28093__1.28093	165179__A0A3E5EDV6__DXC61_03365
ERR1912976.28130__1.28130	33038__F7JT04__CDL21_01120
ERR1912976.28251__1.28251	2292352__A0A374UJE7__DXC23_11305
ERR1912976.28758__1.28758	2292352__A0A374UJE7__DXC23_11305
ERR1912976.28687__1.28687	239935__A0A2N8IMC3__CXT96_03840
